"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 11:58:28 GMT 2024","Tue Jun 11 11:58:29 GMT 2024","201","Promos","Get Promo By ID","","","","No Auth - Get Promo By ID",""
"failed","Tue Jun 11 11:58:18 GMT 2024","Tue Jun 11 11:58:19 GMT 2024","251","Team","Users","Activate User","","","Activate User",""
"passed","Tue Jun 11 11:58:11 GMT 2024","Tue Jun 11 11:58:11 GMT 2024","290","Team","Roles and Permissions","List Roles","","","By Permission - List Roles",""
"passed","Tue Jun 11 11:58:36 GMT 2024","Tue Jun 11 11:58:36 GMT 2024","234","Builder","Update Campaign","","","","Empty fields - Update Campaign",""
"passed","Tue Jun 11 11:58:05 GMT 2024","Tue Jun 11 11:58:06 GMT 2024","274","User","Change Password","","","","Password complexity - Change Password",""
"passed","Tue Jun 11 11:58:20 GMT 2024","Tue Jun 11 11:58:20 GMT 2024","201","Vendors","Fetch Vendors","","","","No Auth - Fetch Vendors",""
"passed","Tue Jun 11 11:58:38 GMT 2024","Tue Jun 11 11:58:39 GMT 2024","196","System Settings","","","","","Update Settings",""
"passed","Tue Jun 11 11:58:39 GMT 2024","Tue Jun 11 11:58:40 GMT 2024","245","Delete customer","","","","","No Id - Delete Customer",""
"failed","Tue Jun 11 11:58:10 GMT 2024","Tue Jun 11 11:58:10 GMT 2024","211","Team","Roles and Permissions","Create Role","","","Invalid status - Create Role",""
"passed","Tue Jun 11 11:58:20 GMT 2024","Tue Jun 11 11:58:20 GMT 2024","240","Vendors","Fetch Vendor By ID","","","","Fetch Vendor By ID",""
"passed","Tue Jun 11 11:58:09 GMT 2024","Tue Jun 11 11:58:10 GMT 2024","256","Team","Roles and Permissions","Create Role","","","Duplicate role - Create Role",""
"passed","Tue Jun 11 11:58:20 GMT 2024","Tue Jun 11 11:58:21 GMT 2024","202","Vendors","Fetch Vendor By ID","","","","No Auth - Fetch Vendor By ID",""
"passed","Tue Jun 11 11:58:07 GMT 2024","Tue Jun 11 11:58:08 GMT 2024","275","User","Update Profile","","","","Update Profile",""
"passed","Tue Jun 11 11:58:32 GMT 2024","Tue Jun 11 11:58:33 GMT 2024","201","Builder","Fetch Banner By ID","","","","No Auth - Fetch Banner By ID",""
"passed","Tue Jun 11 11:58:04 GMT 2024","Tue Jun 11 11:58:05 GMT 2024","1322","User","Change Password","","","","Change Password",""
"passed","Tue Jun 11 11:58:10 GMT 2024","Tue Jun 11 11:58:10 GMT 2024","204","Team","Roles and Permissions","Create Role","","","No Auth - Create Role",""
"passed","Tue Jun 11 11:58:19 GMT 2024","Tue Jun 11 11:58:19 GMT 2024","202","Team","Users","Activate User","","","No Auth - Activate User",""
"passed","Tue Jun 11 11:58:13 GMT 2024","Tue Jun 11 11:58:13 GMT 2024","203","Team","Roles and Permissions","Update Role","","","No Auth - Update Role",""
"passed","Tue Jun 11 11:58:32 GMT 2024","Tue Jun 11 11:58:32 GMT 2024","268","Builder","Fetch Banner By ID","","","","Invalid Id - Fetch Banner By ID",""
"passed","Tue Jun 11 11:58:40 GMT 2024","Tue Jun 11 11:58:40 GMT 2024","200","Delete customer","","","","","No Auth - Delete Customer",""
"failed","Tue Jun 11 11:58:33 GMT 2024","Tue Jun 11 11:58:34 GMT 2024","289","Builder","Update Banner","","","","Update Banner",""
"passed","Tue Jun 11 11:58:08 GMT 2024","Tue Jun 11 11:58:09 GMT 2024","273","Team","Roles and Permissions","Fetch Permissions","","","Fetch Permissions",""
"passed","Tue Jun 11 11:58:31 GMT 2024","Tue Jun 11 11:58:31 GMT 2024","267","Builder","Fetch Campaigns","","","","Fetch Campaigns",""
"passed","Tue Jun 11 11:58:33 GMT 2024","Tue Jun 11 11:58:33 GMT 2024","239","Builder","Fetch Campaign By ID","","","","Invalid Id - Fetch Campaign By ID",""
"passed","Tue Jun 11 11:58:41 GMT 2024","Tue Jun 11 11:58:41 GMT 2024","202","Verify Forgot Password OTP","","","","","Invalid email - Verify Forgot Password OTP",""
"passed","Tue Jun 11 11:58:13 GMT 2024","Tue Jun 11 11:58:14 GMT 2024","253","Team","Roles and Permissions","Update Role","","","Empty fields - Update Role",""
"failed","Tue Jun 11 11:58:39 GMT 2024","Tue Jun 11 11:58:39 GMT 2024","239","Audit Trail","","","","","Get Audit Trail",""
"passed","Tue Jun 11 11:58:29 GMT 2024","Tue Jun 11 11:58:29 GMT 2024","246","Promos","Update Promo","","","","Update Promo",""
"passed","Tue Jun 11 11:58:18 GMT 2024","Tue Jun 11 11:58:18 GMT 2024","202","Team","Users","Deactivate User","","","No Auth - Deactivate User",""
"passed","Tue Jun 11 11:58:10 GMT 2024","Tue Jun 11 11:58:11 GMT 2024","294","Team","Roles and Permissions","Create Role","","","Invalid permission - Create Role",""
"passed","Tue Jun 11 11:58:08 GMT 2024","Tue Jun 11 11:58:08 GMT 2024","308","User","Get Logged In User","","","","Get Logged In User",""
"passed","Tue Jun 11 11:58:30 GMT 2024","Tue Jun 11 11:58:30 GMT 2024","202","Builder","Create Banner","","","","No Auth - Create Banner",""
"passed","Tue Jun 11 11:58:19 GMT 2024","Tue Jun 11 11:58:19 GMT 2024","266","Team","Users","Activate User","","","No Id - Activate User",""
"passed","Tue Jun 11 11:58:12 GMT 2024","Tue Jun 11 11:58:13 GMT 2024","202","Team","Roles and Permissions","Get Role By ID","","","No Auth - Get Role By ID",""
"passed","Tue Jun 11 11:58:13 GMT 2024","Tue Jun 11 11:58:13 GMT 2024","288","Team","Roles and Permissions","Update Role","","","Update Role",""
"passed","Tue Jun 11 11:58:25 GMT 2024","Tue Jun 11 11:58:25 GMT 2024","200","Customers","Fetch Customer Orders","","","","No Auth - Fetch Customer Orders",""
"passed","Tue Jun 11 11:58:17 GMT 2024","Tue Jun 11 11:58:18 GMT 2024","203","Team","Users","Get User By ID","","","No Auth - Get User By ID",""
"passed","Tue Jun 11 11:58:08 GMT 2024","Tue Jun 11 11:58:08 GMT 2024","205","User","Get Logged In User","","","","No Auth - Get Logged In User",""
"passed","Tue Jun 11 11:58:16 GMT 2024","Tue Jun 11 11:58:16 GMT 2024","207","Team","Users","Setup user with email","","","Empty fields - Setup user with email",""
"failed","Tue Jun 11 11:58:24 GMT 2024","Tue Jun 11 11:58:24 GMT 2024","248","Customers","Update Customer","","","","Update Customer",""
"passed","Tue Jun 11 11:58:09 GMT 2024","Tue Jun 11 11:58:09 GMT 2024","206","Team","Roles and Permissions","Fetch Permissions","","","No Auth - Fetch Permissions",""
"passed","Tue Jun 11 11:58:23 GMT 2024","Tue Jun 11 11:58:23 GMT 2024","239","Customers","Fetch Customer By ID","","","","Fetch Customer By ID",""
"passed","Tue Jun 11 11:58:26 GMT 2024","Tue Jun 11 11:58:26 GMT 2024","291","Order","","","","","Fetch Orders",""
"passed","Tue Jun 11 11:58:22 GMT 2024","Tue Jun 11 11:58:22 GMT 2024","256","Vendors","Update Vendor","","","","No Status - Update Vendor",""
"passed","Tue Jun 11 11:58:25 GMT 2024","Tue Jun 11 11:58:25 GMT 2024","254","Customers","Fetch Customer Orders","","","","Fetch Customer Orders",""
"passed","Tue Jun 11 11:58:23 GMT 2024","Tue Jun 11 11:58:23 GMT 2024","203","Customers","Fetch Customers","","","","No Auth - Fetch Customers",""
"passed","Tue Jun 11 11:58:27 GMT 2024","Tue Jun 11 11:58:27 GMT 2024","268","Transactions","Fetch Transeactions","","","","By Type - Fetch Transactions",""
"passed","Tue Jun 11 11:58:24 GMT 2024","Tue Jun 11 11:58:24 GMT 2024","233","Customers","Update Customer","","","","No Id - Update Customer",""
"passed","Tue Jun 11 11:58:29 GMT 2024","Tue Jun 11 11:58:30 GMT 2024","265","Builder","Create Banner","","","","Empty fields - Create Banner",""
"passed","Tue Jun 11 11:58:36 GMT 2024","Tue Jun 11 11:58:36 GMT 2024","200","Builder","Update Campaign","","","","No Auth - Update Campaign",""
"passed","Tue Jun 11 11:58:24 GMT 2024","Tue Jun 11 11:58:24 GMT 2024","237","Customers","Fetch Customer By ID","","","","No Id - Fetch Customer By ID",""
"passed","Tue Jun 11 11:58:41 GMT 2024","Tue Jun 11 11:58:41 GMT 2024","209","Verify Forgot Password OTP","","","","","Valid - Verify Forgot Password OTP",""
"passed","Tue Jun 11 11:58:12 GMT 2024","Tue Jun 11 11:58:12 GMT 2024","262","Team","Roles and Permissions","Get Role By ID","","","Get Role By ID",""
"passed","Tue Jun 11 11:58:34 GMT 2024","Tue Jun 11 11:58:35 GMT 2024","277","Builder","Update Banner","","","","Empty fields - Update Banner",""
"passed","Tue Jun 11 11:58:36 GMT 2024","Tue Jun 11 11:58:37 GMT 2024","234","Builder","Delete Campaign","","","","No Id - Delete Campaign",""
"passed","Tue Jun 11 11:58:24 GMT 2024","Tue Jun 11 11:58:25 GMT 2024","246","Customers","Update Customer","","","","No status - Update Customer",""
"failed","Tue Jun 11 11:58:25 GMT 2024","Tue Jun 11 11:58:26 GMT 2024","203","Customers","Blacklist Customer","","","","Blacklist Customer",""
"passed","Tue Jun 11 11:58:19 GMT 2024","Tue Jun 11 11:58:20 GMT 2024","242","Vendors","Fetch Vendors","","","","By name - Fetch Vendors",""
"passed","Tue Jun 11 11:58:17 GMT 2024","Tue Jun 11 11:58:17 GMT 2024","250","Team","Users","Get User By ID","","","No Id - Get User By ID",""
"passed","Tue Jun 11 11:58:21 GMT 2024","Tue Jun 11 11:58:21 GMT 2024","235","Vendors","Fetch Vendor By ID","","","","No Id- Fetch Vendor By ID",""
"passed","Tue Jun 11 11:58:36 GMT 2024","Tue Jun 11 11:58:36 GMT 2024","274","Builder","Delete Campaign","","","","Delete Campaign",""
"passed","Tue Jun 11 11:58:16 GMT 2024","Tue Jun 11 11:58:16 GMT 2024","209","Team","Users","Setup user with email","","","Setup user with email",""
"passed","Tue Jun 11 11:58:15 GMT 2024","Tue Jun 11 11:58:15 GMT 2024","241","Team","Users","Invite User","","","Invalid fields - Invite User",""
"passed","Tue Jun 11 11:58:32 GMT 2024","Tue Jun 11 11:58:32 GMT 2024","293","Builder","Fetch Banner By ID","","","","Fetch Banner By ID",""
"passed","Tue Jun 11 11:58:26 GMT 2024","Tue Jun 11 11:58:27 GMT 2024","245","Transactions","Fetch Transeactions","","","","By Status - Fetch Transactions",""
"passed","Tue Jun 11 11:58:33 GMT 2024","Tue Jun 11 11:58:33 GMT 2024","208","Builder","Fetch Campaign By ID","","","","No Auth - Fetch Campaign By ID",""
"passed","Tue Jun 11 11:58:39 GMT 2024","Tue Jun 11 11:58:39 GMT 2024","242","Delete customer","","","","","Already deleted - Delete Customer",""
"passed","Tue Jun 11 11:58:21 GMT 2024","Tue Jun 11 11:58:21 GMT 2024","202","Vendors","Update Vendor","","","","No Auth - Update Vendor",""
"passed","Tue Jun 11 11:58:16 GMT 2024","Tue Jun 11 11:58:16 GMT 2024","204","Team","Users","Setup user with email","","","Invalid token - Setup user with email",""
"failed","Tue Jun 11 11:58:35 GMT 2024","Tue Jun 11 11:58:35 GMT 2024","258","Builder","Update Campaign","","","","Update Campaign",""
"passed","Tue Jun 11 11:58:13 GMT 2024","Tue Jun 11 11:58:13 GMT 2024","252","Team","Roles and Permissions","Update Role","","","No Id - Update Role",""
"passed","Tue Jun 11 11:58:26 GMT 2024","Tue Jun 11 11:58:26 GMT 2024","243","Transactions","Fetch Transeactions","","","","By CustomerId - Fetch Transactions",""
"passed","Tue Jun 11 11:58:22 GMT 2024","Tue Jun 11 11:58:22 GMT 2024","253","Vendors","Update Vendor","","","","No Id - Update Vendor",""
"passed","Tue Jun 11 11:58:35 GMT 2024","Tue Jun 11 11:58:36 GMT 2024","236","Builder","Update Campaign","","","","No Id - Update Campaign",""
"passed","Tue Jun 11 11:58:35 GMT 2024","Tue Jun 11 11:58:35 GMT 2024","239","Builder","Update Campaign","","","","Invalid Id - Update Campaign",""
"failed","Tue Jun 11 11:58:18 GMT 2024","Tue Jun 11 11:58:18 GMT 2024","244","Team","Users","Deactivate User","","","Deactivate User",""
"passed","Tue Jun 11 11:58:33 GMT 2024","Tue Jun 11 11:58:33 GMT 2024","250","Builder","Fetch Campaign By ID","","","","No Id - Fetch Campaign By ID",""
"passed","Tue Jun 11 11:58:14 GMT 2024","Tue Jun 11 11:58:14 GMT 2024","202","Team","Roles and Permissions","Delete Roles","","","No Auth - Delete Role",""
"passed","Tue Jun 11 11:58:17 GMT 2024","Tue Jun 11 11:58:17 GMT 2024","203","Team","Users","List Users","","","No Auth - List Users",""
"passed","Tue Jun 11 11:58:06 GMT 2024","Tue Jun 11 11:58:06 GMT 2024","313","User","Change Password","","","","Empty fields - Change Password",""
"passed","Tue Jun 11 11:58:07 GMT 2024","Tue Jun 11 11:58:07 GMT 2024","214","User","Change Password","","","","No Auth - Change Password",""
"passed","Tue Jun 11 11:58:22 GMT 2024","Tue Jun 11 11:58:22 GMT 2024","197","Vendors","Reviews Copy","","","","Fetch Reviews",""
"passed","Tue Jun 11 11:58:29 GMT 2024","Tue Jun 11 11:58:29 GMT 2024","243","Promos","","","","","Delete Promo",""
"passed","Tue Jun 11 11:58:41 GMT 2024","Tue Jun 11 11:58:41 GMT 2024","206","Verify Forgot Password OTP","","","","","Invalid otp - Verify Forgot Password OTP",""
"passed","Tue Jun 11 11:58:15 GMT 2024","Tue Jun 11 11:58:15 GMT 2024","291","Team","Users","Invite User","","","Empty fields - Invite User",""
"passed","Tue Jun 11 11:58:11 GMT 2024","Tue Jun 11 11:58:11 GMT 2024","242","Team","Roles and Permissions","List Roles","","","By Role Name - List Roles",""
"passed","Tue Jun 11 11:58:31 GMT 2024","Tue Jun 11 11:58:31 GMT 2024","204","Builder","Fetch Banners","","","","No Auth - Fetch Banners",""
"passed","Tue Jun 11 11:58:12 GMT 2024","Tue Jun 11 11:58:12 GMT 2024","205","Team","Roles and Permissions","List Roles","","","No Auth - List Roles",""
"passed","Tue Jun 11 11:58:03 GMT 2024","Tue Jun 11 11:58:04 GMT 2024","1050","Auth","Login","","","","Login",""
"passed","Tue Jun 11 11:58:17 GMT 2024","Tue Jun 11 11:58:17 GMT 2024","258","Team","Users","Get User By ID","","","Get User By ID",""
"passed","Tue Jun 11 11:58:28 GMT 2024","Tue Jun 11 11:58:28 GMT 2024","203","Promos","List Promos","","","","No Auth - List Promos",""
"passed","Tue Jun 11 11:58:40 GMT 2024","Tue Jun 11 11:58:40 GMT 2024","217","Forgot password","","","","","Valid - Forgot Password",""
"passed","Tue Jun 11 11:58:24 GMT 2024","Tue Jun 11 11:58:24 GMT 2024","201","Customers","Update Customer","","","","No Auth - Update Customer",""
"passed","Tue Jun 11 11:58:30 GMT 2024","Tue Jun 11 11:58:30 GMT 2024","249","Builder","Create Campaign","","","","Empty fields - Create Campaign",""
"passed","Tue Jun 11 11:58:21 GMT 2024","Tue Jun 11 11:58:21 GMT 2024","251","Vendors","Fetch Vendor By ID","","","","Invalid Id- Fetch Vendor By ID",""
"passed","Tue Jun 11 11:58:28 GMT 2024","Tue Jun 11 11:58:28 GMT 2024","252","Promos","List Promos","","","","List Promos",""
"passed","Tue Jun 11 11:58:31 GMT 2024","Tue Jun 11 11:58:31 GMT 2024","274","Builder","Fetch Banners","","","","Fetch Banners",""
"passed","Tue Jun 11 11:58:34 GMT 2024","Tue Jun 11 11:58:34 GMT 2024","243","Builder","Update Banner","","","","Invalid Id - Update Banner",""
"failed","Tue Jun 11 11:58:15 GMT 2024","Tue Jun 11 11:58:16 GMT 2024","206","Team","Users","Setup user with email","","","Mismatched password - Setup user with email",""
"passed","Tue Jun 11 11:58:41 GMT 2024","Tue Jun 11 11:58:41 GMT 2024","200","Verify Forgot Password OTP","","","","","Empty fields - Verify Forgot Password OTP",""
"failed","Tue Jun 11 11:58:29 GMT 2024","Tue Jun 11 11:58:29 GMT 2024","258","Builder","Create Banner","","","","Create Banner",""
"passed","Tue Jun 11 11:58:11 GMT 2024","Tue Jun 11 11:58:11 GMT 2024","286","Team","Roles and Permissions","List Roles","","","List Roles",""
"passed","Tue Jun 11 11:58:31 GMT 2024","Tue Jun 11 11:58:32 GMT 2024","202","Builder","Fetch Campaigns","","","","No Auth - Fetch Campaigns",""
"passed","Tue Jun 11 11:58:34 GMT 2024","Tue Jun 11 11:58:34 GMT 2024","273","Builder","Update Banner","","","","No Id - Update Banner",""
"passed","Tue Jun 11 11:58:41 GMT 2024","Tue Jun 11 11:58:42 GMT 2024","453","Reset password","","","","","Reset Password",""
"passed","Tue Jun 11 11:58:14 GMT 2024","Tue Jun 11 11:58:15 GMT 2024","248","Team","Users","Invite User","","","Invite User",""
"passed","Tue Jun 11 11:58:10 GMT 2024","Tue Jun 11 11:58:10 GMT 2024","250","Team","Roles and Permissions","Create Role","","","Empty fields - Create Role",""
"passed","Tue Jun 11 11:58:23 GMT 2024","Tue Jun 11 11:58:23 GMT 2024","295","Customers","Fetch Customers","","","","Fetch Customers",""
"passed","Tue Jun 11 11:58:09 GMT 2024","Tue Jun 11 11:58:09 GMT 2024","520","Team","Roles and Permissions","Create Role","","","Valid - Create Role",""
"passed","Tue Jun 11 11:58:12 GMT 2024","Tue Jun 11 11:58:12 GMT 2024","302","Team","Roles and Permissions","Get Role By ID","","","Invalid Id - Get Role By ID",""
"passed","Tue Jun 11 11:58:15 GMT 2024","Tue Jun 11 11:58:15 GMT 2024","203","Team","Users","Invite User","","","No Auth - Invite User",""
"passed","Tue Jun 11 11:58:37 GMT 2024","Tue Jun 11 11:58:37 GMT 2024","270","Builder","Delete Banner","","","","Delete Banner",""
"passed","Tue Jun 11 11:58:40 GMT 2024","Tue Jun 11 11:58:40 GMT 2024","194","Delete customer","","","","","Logout",""
"passed","Tue Jun 11 11:58:38 GMT 2024","Tue Jun 11 11:58:38 GMT 2024","233","System Settings","","","","","Fetch Settings",""
"passed","Tue Jun 11 11:58:37 GMT 2024","Tue Jun 11 11:58:37 GMT 2024","263","Builder","Delete Banner","","","","Invalid Id - Delete Banner",""
"passed","Tue Jun 11 11:58:30 GMT 2024","Tue Jun 11 11:58:31 GMT 2024","204","Builder","Create Campaign","","","","No Auth - Create Campaign",""
"failed","Tue Jun 11 11:58:39 GMT 2024","Tue Jun 11 11:58:39 GMT 2024","266","Delete customer","","","","","Delete Customer",""
"passed","Tue Jun 11 11:58:35 GMT 2024","Tue Jun 11 11:58:35 GMT 2024","204","Builder","Update Banner","","","","No Auth - Update Banner",""
