"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:14:58 GMT 2024","Tue Jun 11 13:14:58 GMT 2024","181","Customers","Update Customer","","","","No Auth - Update Customer",""
"failed","Tue Jun 11 13:15:03 GMT 2024","Tue Jun 11 13:15:03 GMT 2024","248","Builder","Create Banner","","","","Create Banner",""
"passed","Tue Jun 11 13:14:55 GMT 2024","Tue Jun 11 13:14:55 GMT 2024","232","Vendors","Update Vendor","","","","No Status - Update Vendor",""
"passed","Tue Jun 11 13:14:54 GMT 2024","Tue Jun 11 13:14:55 GMT 2024","236","Vendors","Fetch Vendor By ID","","","","No Id- Fetch Vendor By ID",""
"failed","Tue Jun 11 13:15:04 GMT 2024","Tue Jun 11 13:15:04 GMT 2024","221","Builder","Create Campaign","","","","Create Campaign",""
"passed","Tue Jun 11 13:14:57 GMT 2024","Tue Jun 11 13:14:57 GMT 2024","180","Customers","Fetch Customer By ID","","","","No Auth - Fetch Customer By ID",""
"passed","Tue Jun 11 13:15:03 GMT 2024","Tue Jun 11 13:15:03 GMT 2024","231","Promos","Update Promo","","","","Update Promo",""
"passed","Tue Jun 11 13:14:57 GMT 2024","Tue Jun 11 13:14:57 GMT 2024","226","Customers","Fetch Customer By ID","","","","Fetch Customer By ID",""
"passed","Tue Jun 11 13:15:01 GMT 2024","Tue Jun 11 13:15:02 GMT 2024","257","Promos","Create Promo","","","","Create Promo",""
"passed","Tue Jun 11 13:14:58 GMT 2024","Tue Jun 11 13:14:58 GMT 2024","227","Customers","Update Customer","","","","No status - Update Customer",""
"passed","Tue Jun 11 13:14:46 GMT 2024","Tue Jun 11 13:14:47 GMT 2024","218","Team","Roles and Permissions","Update Role","","","No Id - Update Role",""
"passed","Tue Jun 11 13:15:11 GMT 2024","Tue Jun 11 13:15:11 GMT 2024","272","Builder","Delete Banner","","","","Invalid Id - Delete Banner",""
"passed","Tue Jun 11 13:14:57 GMT 2024","Tue Jun 11 13:14:58 GMT 2024","219","Customers","Fetch Customer By ID","","","","No Id - Fetch Customer By ID",""
"failed","Tue Jun 11 13:15:12 GMT 2024","Tue Jun 11 13:15:12 GMT 2024","246","Delete customer","","","","","Delete Customer",""
"passed","Tue Jun 11 13:14:41 GMT 2024","Tue Jun 11 13:14:42 GMT 2024","195","User","Change Password","","","","No Auth - Change Password",""
"failed","Tue Jun 11 13:14:49 GMT 2024","Tue Jun 11 13:14:49 GMT 2024","190","Team","Users","Setup user with email","","","Mismatched password - Setup user with email",""
"passed","Tue Jun 11 13:14:48 GMT 2024","Tue Jun 11 13:14:48 GMT 2024","223","Team","Users","Invite User","","","Empty fields - Invite User",""
"passed","Tue Jun 11 13:14:46 GMT 2024","Tue Jun 11 13:14:46 GMT 2024","249","Team","Roles and Permissions","Get Role By ID","","","Get Role By ID",""
"passed","Tue Jun 11 13:15:00 GMT 2024","Tue Jun 11 13:15:00 GMT 2024","292","Order","","","","","Fetch Orders",""
"passed","Tue Jun 11 13:15:15 GMT 2024","Tue Jun 11 13:15:15 GMT 2024","559","Reset password","","","","","Reset Password",""
"failed","Tue Jun 11 13:14:59 GMT 2024","Tue Jun 11 13:14:59 GMT 2024","183","Customers","Blacklist Customer","","","","Blacklist Customer",""
"passed","Tue Jun 11 13:14:56 GMT 2024","Tue Jun 11 13:14:56 GMT 2024","235","Customers","Fetch Customers","","","","Fetch Customers",""
"passed","Tue Jun 11 13:15:02 GMT 2024","Tue Jun 11 13:15:02 GMT 2024","182","Promos","Create Promo","","","","No Auth - Create Promo",""
"failed","Tue Jun 11 13:15:07 GMT 2024","Tue Jun 11 13:15:07 GMT 2024","244","Builder","Update Banner","","","","Update Banner",""
"passed","Tue Jun 11 13:14:42 GMT 2024","Tue Jun 11 13:14:42 GMT 2024","302","User","Get Logged In User","","","","Get Logged In User",""
"passed","Tue Jun 11 13:14:54 GMT 2024","Tue Jun 11 13:14:54 GMT 2024","256","Vendors","Fetch Vendor By ID","","","","Fetch Vendor By ID",""
"passed","Tue Jun 11 13:14:50 GMT 2024","Tue Jun 11 13:14:51 GMT 2024","183","Team","Users","List Users","","","No Auth - List Users",""
"passed","Tue Jun 11 13:15:03 GMT 2024","Tue Jun 11 13:15:04 GMT 2024","235","Builder","Create Banner","","","","Empty fields - Create Banner",""
"passed","Tue Jun 11 13:14:48 GMT 2024","Tue Jun 11 13:14:48 GMT 2024","225","Team","Users","Invite User","","","Invalid fields - Invite User",""
"passed","Tue Jun 11 13:14:49 GMT 2024","Tue Jun 11 13:14:50 GMT 2024","270","Team","Users","List Users","","","List Users",""
"passed","Tue Jun 11 13:14:57 GMT 2024","Tue Jun 11 13:14:57 GMT 2024","182","Customers","Fetch Customers","","","","No Auth - Fetch Customers",""
"passed","Tue Jun 11 13:15:06 GMT 2024","Tue Jun 11 13:15:07 GMT 2024","236","Builder","Fetch Campaign By ID","","","","Invalid Id - Fetch Campaign By ID",""
"failed","Tue Jun 11 13:15:10 GMT 2024","Tue Jun 11 13:15:11 GMT 2024","245","Builder","Delete Banner","","","","Delete Banner",""
"passed","Tue Jun 11 13:14:50 GMT 2024","Tue Jun 11 13:14:50 GMT 2024","244","Team","Users","List Users","","","By createdAt - List Users",""
"passed","Tue Jun 11 13:15:13 GMT 2024","Tue Jun 11 13:15:13 GMT 2024","181","Delete customer","","","","","No Auth - Delete Customer",""
"passed","Tue Jun 11 13:15:01 GMT 2024","Tue Jun 11 13:15:01 GMT 2024","240","Transactions","Fetch Transeactions","","","","By Status - Fetch Transactions",""
"passed","Tue Jun 11 13:15:02 GMT 2024","Tue Jun 11 13:15:02 GMT 2024","241","Promos","List Promos","","","","List Promos",""
"passed","Tue Jun 11 13:14:51 GMT 2024","Tue Jun 11 13:14:51 GMT 2024","182","Team","Users","Get User By ID","","","No Auth - Get User By ID",""
"failed","Tue Jun 11 13:15:09 GMT 2024","Tue Jun 11 13:15:10 GMT 2024","261","Builder","Delete Campaign","","","","Delete Campaign",""
"passed","Tue Jun 11 13:15:05 GMT 2024","Tue Jun 11 13:15:05 GMT 2024","182","Builder","Fetch Banners","","","","No Auth - Fetch Banners",""
"passed","Tue Jun 11 13:15:06 GMT 2024","Tue Jun 11 13:15:06 GMT 2024","225","Builder","Fetch Banner By ID","","","","Invalid Id - Fetch Banner By ID",""
"failed","Tue Jun 11 13:14:58 GMT 2024","Tue Jun 11 13:14:58 GMT 2024","246","Customers","Update Customer","","","","Update Customer",""
"passed","Tue Jun 11 13:14:40 GMT 2024","Tue Jun 11 13:14:41 GMT 2024","1153","User","Change Password","","","","Valid duplicate - Change Password",""
"passed","Tue Jun 11 13:14:54 GMT 2024","Tue Jun 11 13:14:54 GMT 2024","235","Vendors","Fetch Vendor By ID","","","","Invalid Id- Fetch Vendor By ID",""
"passed","Tue Jun 11 13:15:11 GMT 2024","Tue Jun 11 13:15:12 GMT 2024","177","Payouts","","","","","Initiate Payout",""
"passed","Tue Jun 11 13:15:04 GMT 2024","Tue Jun 11 13:15:05 GMT 2024","183","Builder","Create Campaign","","","","No Auth - Create Campaign",""
"passed","Tue Jun 11 13:14:46 GMT 2024","Tue Jun 11 13:14:46 GMT 2024","225","Team","Roles and Permissions","Get Role By ID","","","Invalid Id - Get Role By ID",""
"failed","Tue Jun 11 13:15:06 GMT 2024","Tue Jun 11 13:15:06 GMT 2024","226","Builder","Fetch Campaign By ID","","","","Fetch Campaign By ID",""
"passed","Tue Jun 11 13:14:53 GMT 2024","Tue Jun 11 13:14:53 GMT 2024","272","Vendors","Fetch Vendors","","","","Fetch Vendors",""
"passed","Tue Jun 11 13:14:53 GMT 2024","Tue Jun 11 13:14:53 GMT 2024","183","Team","Users","Activate User","","","No Auth - Activate User",""
"passed","Tue Jun 11 13:15:02 GMT 2024","Tue Jun 11 13:15:03 GMT 2024","218","Promos","Get Promo By ID","","","","Get Promo By ID",""
"passed","Tue Jun 11 13:14:56 GMT 2024","Tue Jun 11 13:14:56 GMT 2024","176","Vendors","Reviews Copy","","","","Fetch Reviews",""
"passed","Tue Jun 11 13:15:01 GMT 2024","Tue Jun 11 13:15:01 GMT 2024","431","Transactions","Fetch Transeactions","","","","By TransactionRef - Fetch Transactions",""
"passed","Tue Jun 11 13:15:02 GMT 2024","Tue Jun 11 13:15:02 GMT 2024","180","Promos","List Promos","","","","No Auth - List Promos",""
"failed","Tue Jun 11 13:14:52 GMT 2024","Tue Jun 11 13:14:52 GMT 2024","232","Team","Users","Deactivate User","","","No Id - Deactivate User",""
"passed","Tue Jun 11 13:14:51 GMT 2024","Tue Jun 11 13:14:51 GMT 2024","235","Team","Users","Get User By ID","","","No Id - Get User By ID",""
"passed","Tue Jun 11 13:15:07 GMT 2024","Tue Jun 11 13:15:07 GMT 2024","241","Builder","Fetch Campaign By ID","","","","No Id - Fetch Campaign By ID",""
"failed","Tue Jun 11 13:14:51 GMT 2024","Tue Jun 11 13:14:52 GMT 2024","228","Team","Users","Deactivate User","","","Deactivate User",""
"failed","Tue Jun 11 13:15:05 GMT 2024","Tue Jun 11 13:15:06 GMT 2024","237","Builder","Fetch Banner By ID","","","","Fetch Banner By ID",""
"passed","Tue Jun 11 13:14:49 GMT 2024","Tue Jun 11 13:14:49 GMT 2024","187","Team","Users","Setup user with email","","","Empty fields - Setup user with email",""
"passed","Tue Jun 11 13:14:57 GMT 2024","Tue Jun 11 13:14:57 GMT 2024","218","Customers","Fetch Customers","","","","By CreatedAt - Fetch Customers",""
"passed","Tue Jun 11 13:15:14 GMT 2024","Tue Jun 11 13:15:14 GMT 2024","191","Verify Forgot Password OTP","","","","","Valid - Verify Forgot Password OTP",""
"passed","Tue Jun 11 13:15:14 GMT 2024","Tue Jun 11 13:15:14 GMT 2024","185","Forgot password","","","","","No Email - Forgot Password",""
"passed","Tue Jun 11 13:15:12 GMT 2024","Tue Jun 11 13:15:12 GMT 2024","180","System Settings","","","","","Update Settings",""
"passed","Tue Jun 11 13:15:01 GMT 2024","Tue Jun 11 13:15:01 GMT 2024","283","Transactions","Fetch Transeactions","","","","By Type - Fetch Transactions",""
"passed","Tue Jun 11 13:15:00 GMT 2024","Tue Jun 11 13:15:00 GMT 2024","263","Transactions","Fetch Transeactions","","","","Fetch Transactions",""
"passed","Tue Jun 11 13:14:47 GMT 2024","Tue Jun 11 13:14:47 GMT 2024","191","Team","Roles and Permissions","Update Role","","","No Auth - Update Role",""
"passed","Tue Jun 11 13:14:49 GMT 2024","Tue Jun 11 13:14:49 GMT 2024","184","Team","Users","Setup user with email","","","Invalid token - Setup user with email",""
"passed","Tue Jun 11 13:15:05 GMT 2024","Tue Jun 11 13:15:05 GMT 2024","231","Builder","Fetch Campaigns","","","","Fetch Campaigns",""
"passed","Tue Jun 11 13:14:44 GMT 2024","Tue Jun 11 13:14:44 GMT 2024","261","Team","Roles and Permissions","Create Role","","","Empty fields - Create Role",""
"passed","Tue Jun 11 13:15:07 GMT 2024","Tue Jun 11 13:15:07 GMT 2024","181","Builder","Fetch Campaign By ID","","","","No Auth - Fetch Campaign By ID",""
"passed","Tue Jun 11 13:14:45 GMT 2024","Tue Jun 11 13:14:45 GMT 2024","239","Team","Roles and Permissions","List Roles","","","By Date - List Roles",""
"passed","Tue Jun 11 13:15:04 GMT 2024","Tue Jun 11 13:15:04 GMT 2024","245","Builder","Create Campaign","","","","Empty fields - Create Campaign",""
"passed","Tue Jun 11 13:14:47 GMT 2024","Tue Jun 11 13:14:47 GMT 2024","183","Team","Roles and Permissions","Delete Roles","","","No Auth - Delete Role",""
"passed","Tue Jun 11 13:14:55 GMT 2024","Tue Jun 11 13:14:56 GMT 2024","234","Vendors","Update Vendor","","","","No Id - Update Vendor",""
"passed","Tue Jun 11 13:15:11 GMT 2024","Tue Jun 11 13:15:11 GMT 2024","267","Builder","Delete Banner","","","","No Id - Delete Banner",""
"passed","Tue Jun 11 13:14:59 GMT 2024","Tue Jun 11 13:14:59 GMT 2024","259","Customers","Fetch Customer Orders","","","","No Id - Fetch Customer Orders",""
"passed","Tue Jun 11 13:14:58 GMT 2024","Tue Jun 11 13:14:58 GMT 2024","219","Customers","Update Customer","","","","No Id - Update Customer",""
"passed","Tue Jun 11 13:15:04 GMT 2024","Tue Jun 11 13:15:04 GMT 2024","183","Builder","Create Banner","","","","No Auth - Create Banner",""
"passed","Tue Jun 11 13:15:09 GMT 2024","Tue Jun 11 13:15:09 GMT 2024","232","Builder","Update Campaign","","","","Invalid Id - Update Campaign",""
"passed","Tue Jun 11 13:14:46 GMT 2024","Tue Jun 11 13:14:46 GMT 2024","276","Team","Roles and Permissions","Update Role","","","Update Role",""
"failed","Tue Jun 11 13:15:12 GMT 2024","Tue Jun 11 13:15:12 GMT 2024","283","Audit Trail","","","","","Get Audit Trail",""
"passed","Tue Jun 11 13:15:08 GMT 2024","Tue Jun 11 13:15:08 GMT 2024","239","Builder","Update Banner","","","","Empty fields - Update Banner",""
"failed","Tue Jun 11 13:14:55 GMT 2024","Tue Jun 11 13:14:55 GMT 2024","274","Vendors","Update Vendor","","","","Update Vendor",""
"passed","Tue Jun 11 13:15:05 GMT 2024","Tue Jun 11 13:15:05 GMT 2024","185","Builder","Fetch Campaigns","","","","No Auth - Fetch Campaigns",""
"failed","Tue Jun 11 13:15:08 GMT 2024","Tue Jun 11 13:15:09 GMT 2024","284","Builder","Update Campaign","","","","Update Campaign",""
"passed","Tue Jun 11 13:14:43 GMT 2024","Tue Jun 11 13:14:44 GMT 2024","188","Team","Roles and Permissions","Create Role","","","No Auth - Create Role",""
"passed","Tue Jun 11 13:14:53 GMT 2024","Tue Jun 11 13:14:54 GMT 2024","185","Vendors","Fetch Vendors","","","","No Auth - Fetch Vendors",""
"passed","Tue Jun 11 13:14:42 GMT 2024","Tue Jun 11 13:14:42 GMT 2024","283","User","Update Profile","","","","Update Profile",""
"passed","Tue Jun 11 13:14:49 GMT 2024","Tue Jun 11 13:14:49 GMT 2024","184","Team","Users","Invite User","","","No Auth - Invite User",""
"passed","Tue Jun 11 13:14:48 GMT 2024","Tue Jun 11 13:14:48 GMT 2024","288","Team","Users","Invite User","","","Invite User",""
"passed","Tue Jun 11 13:14:43 GMT 2024","Tue Jun 11 13:14:43 GMT 2024","231","Team","Roles and Permissions","Fetch Permissions","","","Fetch Permissions",""
"passed","Tue Jun 11 13:14:56 GMT 2024","Tue Jun 11 13:14:56 GMT 2024","176","Vendors","Reviews Copy","","","","Delete Review",""
"passed","Tue Jun 11 13:15:10 GMT 2024","Tue Jun 11 13:15:10 GMT 2024","217","Builder","Delete Campaign","","","","No Id - Delete Campaign",""
"failed","Tue Jun 11 13:14:44 GMT 2024","Tue Jun 11 13:14:44 GMT 2024","190","Team","Roles and Permissions","Create Role","","","Invalid status - Create Role",""
"passed","Tue Jun 11 13:15:08 GMT 2024","Tue Jun 11 13:15:08 GMT 2024","183","Builder","Update Banner","","","","No Auth - Update Banner",""
"passed","Tue Jun 11 13:15:09 GMT 2024","Tue Jun 11 13:15:09 GMT 2024","231","Builder","Update Campaign","","","","No Id - Update Campaign",""
"passed","Tue Jun 11 13:15:06 GMT 2024","Tue Jun 11 13:15:06 GMT 2024","220","Builder","Fetch Banner By ID","","","","No Id - Fetch Banner By ID",""
"passed","Tue Jun 11 13:15:00 GMT 2024","Tue Jun 11 13:15:00 GMT 2024","179","Customers","","","","","Delete Customer Copy",""
