"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 08:46:33 GMT 2024","Mon Jun 17 08:46:33 GMT 2024","170","Cart And Orders","Review/rate Order","","","","No Auth - Review Order",""
"passed","Mon Jun 17 08:46:20 GMT 2024","Mon Jun 17 08:46:21 GMT 2024","170","Meals","Fetch Meals by ID","","","","Fetch Meal By ID - No ID",""
"failed","Mon Jun 17 08:46:31 GMT 2024","Mon Jun 17 08:46:31 GMT 2024","170","Cart And Orders","Update Cart","","","","Update Cart - No deliveryDate",""
"passed","Mon Jun 17 08:46:24 GMT 2024","Mon Jun 17 08:46:24 GMT 2024","166","Vendor","Add to Favourites","","","","No Auth - Add to Favorites",""
"failed","Mon Jun 17 08:46:30 GMT 2024","Mon Jun 17 08:46:30 GMT 2024","170","Notification","","","","","Save Push Notification Token - No Token",""
"passed","Mon Jun 17 08:46:15 GMT 2024","Mon Jun 17 08:46:15 GMT 2024","193","Auth","Onboarding","Signup > Phone Number","","","Signup - empty fields",""
"failed","Mon Jun 17 08:46:33 GMT 2024","Mon Jun 17 08:46:33 GMT 2024","170","Cart And Orders","Review/rate Order","","","","No vendorOrderId - Review Order",""
"passed","Mon Jun 17 08:46:38 GMT 2024","Mon Jun 17 08:46:38 GMT 2024","168","Verify Forgot Password OTP","","","","","Invalid email - Verify Forgot Password OTP",""
"failed","Mon Jun 17 08:46:22 GMT 2024","Mon Jun 17 08:46:22 GMT 2024","175","Vendor","Fetch Vendors","","","","Fetch Vendors by name",""
"passed","Mon Jun 17 08:46:17 GMT 2024","Mon Jun 17 08:46:18 GMT 2024","809","Auth","","","","","Complete Login With Oauth",""
"passed","Mon Jun 17 08:46:39 GMT 2024","Mon Jun 17 08:46:39 GMT 2024","170","Reset Password","","","","","Invalid otp - Reset Password",""
"failed","Mon Jun 17 08:46:26 GMT 2024","Mon Jun 17 08:46:26 GMT 2024","172","User","Change Password","","","","Change Password - Same values Password",""
"passed","Mon Jun 17 08:46:21 GMT 2024","Mon Jun 17 08:46:21 GMT 2024","167","Meals","Add to Favourites","","","","No Auth - Add to Favorites",""
"passed","Mon Jun 17 08:46:37 GMT 2024","Mon Jun 17 08:46:37 GMT 2024","169","Forgot Password","","","","","Invalid Email - Forgot Password",""
"failed","Mon Jun 17 08:46:21 GMT 2024","Mon Jun 17 08:46:22 GMT 2024","169","Meals","Remove From Favourites","","","","Valid - Remove From Favorites",""
"failed","Mon Jun 17 08:46:23 GMT 2024","Mon Jun 17 08:46:23 GMT 2024","170","Vendor","Fetch Vendors by Id","","","","Fetch Vendor by Id - No Auth",""
"passed","Mon Jun 17 08:46:29 GMT 2024","Mon Jun 17 08:46:29 GMT 2024","172","Misc","Get Config","","","","Get Config",""
"passed","Mon Jun 17 08:46:25 GMT 2024","Mon Jun 17 08:46:25 GMT 2024","168","User","Change Password","","","","Change Password - No Auth",""
"failed","Mon Jun 17 08:46:30 GMT 2024","Mon Jun 17 08:46:30 GMT 2024","171","Cart And Orders","Update Cart","","","","Update Cart - Valid",""
"passed","Mon Jun 17 08:46:18 GMT 2024","Mon Jun 17 08:46:18 GMT 2024","190","Auth","","","","","Login With Phone",""
"failed","Mon Jun 17 08:46:22 GMT 2024","Mon Jun 17 08:46:22 GMT 2024","169","Meals","Remove From Favourites","","","","No Mead Id - Remove From Favorites",""
"failed","Mon Jun 17 08:46:20 GMT 2024","Mon Jun 17 08:46:20 GMT 2024","181","Meals","Fetch Meals","","","","Fetch Meals - No Auth",""
"passed","Mon Jun 17 08:46:25 GMT 2024","Mon Jun 17 08:46:25 GMT 2024","167","Vendor","Remove From Favorites","","","","No Auth - Remove From Favorites",""
"failed","Mon Jun 17 08:46:20 GMT 2024","Mon Jun 17 08:46:20 GMT 2024","173","Meals","Fetch Meals Categories","","","","Fetch Categories - No Auth",""
"failed","Mon Jun 17 08:46:20 GMT 2024","Mon Jun 17 08:46:20 GMT 2024","171","Meals","Fetch Meals by ID","","","","Fetch Meal By ID",""
"failed","Mon Jun 17 08:46:19 GMT 2024","Mon Jun 17 08:46:19 GMT 2024","179","Meals","Fetch Meals","","","","Fetch Meals - By vendor Id",""
"failed","Mon Jun 17 08:46:31 GMT 2024","Mon Jun 17 08:46:31 GMT 2024","169","Cart And Orders","Update Cart","","","","Update Cart - No quantity",""
"failed","Mon Jun 17 08:46:30 GMT 2024","Mon Jun 17 08:46:31 GMT 2024","169","Cart And Orders","Update Cart","","","","Update Cart - No priceId",""
"passed","Mon Jun 17 08:46:33 GMT 2024","Mon Jun 17 08:46:33 GMT 2024","171","Cart And Orders","Review/rate Order","","","","Valid - Review Order",""
"failed","Mon Jun 17 08:46:26 GMT 2024","Mon Jun 17 08:46:26 GMT 2024","174","User","Change Password","","","","Change Password - No confirmPassword",""
