"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 14 18:35:50 GMT 2024","Fri Jun 14 18:35:50 GMT 2024","154","User","Change Password","","","","Change Password - No confirmPassword",""
"passed","Fri Jun 14 18:35:57 GMT 2024","Fri Jun 14 18:35:57 GMT 2024","153","Cart And Orders","Review/rate Order","","","","Valid - Review Order",""
"failed","Fri Jun 14 18:35:46 GMT 2024","Fri Jun 14 18:35:46 GMT 2024","155","Meals","Fetch Meals by ID","","","","Fetch Meal By ID - No Auth",""
"failed","Fri Jun 14 18:36:02 GMT 2024","Fri Jun 14 18:36:02 GMT 2024","153","Reset Password","","","","","Valid - Reset Password",""
"failed","Fri Jun 14 18:35:51 GMT 2024","Fri Jun 14 18:35:51 GMT 2024","154","User","Change Password","","","","Change Password - Valid",""
"failed","Fri Jun 14 18:36:01 GMT 2024","Fri Jun 14 18:36:01 GMT 2024","154","Forgot Password","","","","","Invalid Email - Forgot Password",""
"failed","Fri Jun 14 18:35:51 GMT 2024","Fri Jun 14 18:35:51 GMT 2024","152","User","Change Password","","","","Change Password - Invalid oldPassword",""
"passed","Fri Jun 14 18:35:44 GMT 2024","Fri Jun 14 18:35:44 GMT 2024","154","Meals","Fetch Meals","","","","Fetch Meals - By price lt",""
"failed","Fri Jun 14 18:36:01 GMT 2024","Fri Jun 14 18:36:02 GMT 2024","155","Verify Forgot Password OTP","","","","","No otp - Verify Forgot Password OTP",""
"failed","Fri Jun 14 18:35:58 GMT 2024","Fri Jun 14 18:35:58 GMT 2024","152","Cart And Orders","Fetch Reviews","","","","No VendorId - Fetch Reviews",""
"failed","Fri Jun 14 18:35:57 GMT 2024","Fri Jun 14 18:35:57 GMT 2024","154","Cart And Orders","Review/rate Order","","","","No vendorOrderId - Review Order",""
"failed","Fri Jun 14 18:35:43 GMT 2024","Fri Jun 14 18:35:43 GMT 2024","171","Auth","","","","","Login With Google",""
"failed","Fri Jun 14 18:35:52 GMT 2024","Fri Jun 14 18:35:52 GMT 2024","154","User","Get logged in user","","","","Valid - Get Logged In User",""
"passed","Fri Jun 14 18:35:45 GMT 2024","Fri Jun 14 18:35:45 GMT 2024","151","Meals","Fetch Meals","","","","Fetch Meals - By Rating lte",""
"passed","Fri Jun 14 18:35:56 GMT 2024","Fri Jun 14 18:35:56 GMT 2024","153","Cart And Orders","Fetch Customer Order By Id","","","","Fetch Customer Order By ID - Valid",""
"failed","Fri Jun 14 18:35:59 GMT 2024","Fri Jun 14 18:35:59 GMT 2024","152","Delete Address","","","","","Delete Address - No Auth",""
"failed","Fri Jun 14 18:35:53 GMT 2024","Fri Jun 14 18:35:54 GMT 2024","155","Misc","Get Config","","","","Get Config -No Auth",""
"passed","Fri Jun 14 18:35:42 GMT 2024","Fri Jun 14 18:35:42 GMT 2024","162","Auth","Onboarding","Verify OTP","","","Verify OTP - Empty Fields",""
"failed","Fri Jun 14 18:36:01 GMT 2024","Fri Jun 14 18:36:01 GMT 2024","153","Forgot Password","","","","","No Email - Forgot Password",""
"failed","Fri Jun 14 18:35:58 GMT 2024","Fri Jun 14 18:35:58 GMT 2024","155","Cart And Orders","Fetch Reviews","","","","Invalid VendorId - Fetch Reviews",""
"passed","Fri Jun 14 18:36:00 GMT 2024","Fri Jun 14 18:36:00 GMT 2024","153","Logout","","","","","Signup - Existing User Email",""
"failed","Fri Jun 14 18:35:56 GMT 2024","Fri Jun 14 18:35:56 GMT 2024","153","Cart And Orders","Checkout","","","","Checkout - No Auth",""
"passed","Fri Jun 14 18:35:44 GMT 2024","Fri Jun 14 18:35:44 GMT 2024","153","Meals","Fetch Meals","","","","Fetch Meals - By price gt",""
"failed","Fri Jun 14 18:35:50 GMT 2024","Fri Jun 14 18:35:50 GMT 2024","154","Vendor","Remove From Favorites","","","","No Vendor Id - Remove From Favorites",""
"passed","Fri Jun 14 18:35:41 GMT 2024","Fri Jun 14 18:35:42 GMT 2024","169","Auth","Onboarding","Signup > Phone Number","","","Signup - empty fields",""
"failed","Fri Jun 14 18:35:49 GMT 2024","Fri Jun 14 18:35:49 GMT 2024","153","Vendor","Add to Favourites","","","","No Auth - Add to Favorites",""
"failed","Fri Jun 14 18:35:53 GMT 2024","Fri Jun 14 18:35:53 GMT 2024","155","Address","Add address","","","","Add address - No Address id",""
"passed","Fri Jun 14 18:35:47 GMT 2024","Fri Jun 14 18:35:47 GMT 2024","153","Vendor","Fetch Vendors","","","","Fetch Vendors by name",""
"failed","Fri Jun 14 18:36:02 GMT 2024","Fri Jun 14 18:36:02 GMT 2024","152","Reset Password","","","","","Invalid otp - Reset Password",""
"passed","Fri Jun 14 18:35:45 GMT 2024","Fri Jun 14 18:35:45 GMT 2024","153","Meals","Fetch Meals","","","","Fetch Meals - No Auth",""
"failed","Fri Jun 14 18:35:46 GMT 2024","Fri Jun 14 18:35:46 GMT 2024","155","Meals","Add to Favourites","","","","Valid - Add to Favorites",""
"failed","Fri Jun 14 18:35:58 GMT 2024","Fri Jun 14 18:35:59 GMT 2024","154","Delivery Rates and Areas","Fetch Delivery Rate","","","","Fetch Delivery Rate - No vendorId",""
"failed","Fri Jun 14 18:35:51 GMT 2024","Fri Jun 14 18:35:52 GMT 2024","153","User","Update Profile","","","","Update Profile - No DOB",""
"failed","Fri Jun 14 18:35:48 GMT 2024","Fri Jun 14 18:35:48 GMT 2024","154","Vendor","Fetch Vendors by Id","","","","Fetch Vendor by Id - Invalid Vendor Id",""
"failed","Fri Jun 14 18:35:57 GMT 2024","Fri Jun 14 18:35:57 GMT 2024","155","Cart And Orders","Review/rate Order","","","","Invalid vendorOrderId - Review Order",""
"failed","Fri Jun 14 18:35:46 GMT 2024","Fri Jun 14 18:35:46 GMT 2024","154","Meals","Add to Favourites","","","","Invalid Id - Add to Favorites",""
"failed","Fri Jun 14 18:36:01 GMT 2024","Fri Jun 14 18:36:01 GMT 2024","154","Verify Forgot Password OTP","","","","","No email - Verify Forgot Password OTP",""
"failed","Fri Jun 14 18:35:55 GMT 2024","Fri Jun 14 18:35:55 GMT 2024","154","Cart And Orders","Update Cart","","","","Update Cart - No priceId",""
"passed","Fri Jun 14 18:35:42 GMT 2024","Fri Jun 14 18:35:42 GMT 2024","164","Auth","Onboarding","Verify OTP","","","Verify OTP - Invalid OTP",""
"failed","Fri Jun 14 18:35:54 GMT 2024","Fri Jun 14 18:35:54 GMT 2024","153","Get health","","","","","Get Health - No Auth",""
"passed","Fri Jun 14 18:35:41 GMT 2024","Fri Jun 14 18:35:41 GMT 2024","172","Auth","Onboarding","Signup > Phone Number","","","Signup - Valid",""
